,id,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3449,75116000FL,48.8666923475,2.2878365600000006,"Le Dokhan's, a Tribute Portfolio Hotel, Paris",48.86633098310435,2.286757528781891,Hotel
3450,75116000FL,48.8666923475,2.2878365600000006,Piccola Roma,48.86620220094348,2.28834325869881,Italian Restaurant
3451,75116000FL,48.8666923475,2.2878365600000006,Victor,48.866948368062516,2.2875492522785086,French Restaurant
3452,75116000FL,48.8666923475,2.2878365600000006,Hôtel Garden Élysées,48.86636250819187,2.288086505180123,Hotel
3453,75116000FL,48.8666923475,2.2878365600000006,Hôtel Waldorf Trocadero,48.86724672710035,2.2878619967662055,Hotel
3454,75116000FL,48.8666923475,2.2878365600000006,La Table du Baltimore,48.8665342746111,2.2891350884922526,French Restaurant
3455,75116000FL,48.8666923475,2.2878365600000006,Hotel Floride Etoile,48.866271594607646,2.287913570229899,Hotel
3456,75116000FL,48.8666923475,2.2878365600000006,Hotel Etoile Trocadero,48.86620566697707,2.28712103090884,Hotel
3457,75116000FM,48.86759066521739,2.292940552173913,Cristal Room Baccarat,48.868038,2.293133,French Restaurant
3458,75116000FM,48.86759066521739,2.292940552173913,Maison Baccarat,48.867974205926416,2.293686899375833,Art Museum
3459,75116000FM,48.86759066521739,2.292940552173913,Le Comptoir Kléber,48.86791554313335,2.2919308692563303,French Restaurant
3460,75116000FN,48.865691161111116,2.2925197388888883,Maison Bonon,48.86508793547057,2.2917720721579533,Bakery
3461,75116000FO,48.86769655789474,2.2973627315789473,Boulangerie Malitourne,48.86813307341061,2.2984354476911513,Bakery
3462,75116000FO,48.86769655789474,2.2973627315789473,Traiteur Jegado,48.868105242558094,2.2984143169112308,Food & Drink Shop
3463,75116000FO,48.86769655789474,2.2973627315789473,Tse Yang,48.86699350685622,2.297449055237325,Chinese Restaurant
3464,75116000FO,48.86769655789474,2.2973627315789473,Il Gusto Sardo,48.86745833936283,2.2976434652547337,Italian Restaurant
3465,75116000FO,48.86769655789474,2.2973627315789473,Chai,48.86707841725739,2.297102932824253,Asian Restaurant
3466,75116000FO,48.86769655789474,2.2973627315789473,G20,48.8675694428143,2.297785248970314,Supermarket
3467,75116000FP,48.86622670869565,2.297269113043478,Musée Galliera – Musée de la Mode et du Costume,48.86600543859532,2.296629752644252,Museum
3468,75116000FP,48.86622670869565,2.297269113043478,Le Tigre Yoga Club,48.866712093185534,2.296692430973053,Yoga Studio
3469,75116000FP,48.86622670869565,2.297269113043478,La Pâtisserie Cyril Lignac,48.866546240080986,2.2968292236328125,Pastry Shop
3470,75116000FP,48.86622670869565,2.297269113043478,Le Galliera,48.8664041137435,2.2972054182939914,French Restaurant
3471,75116000FP,48.86622670869565,2.297269113043478,Tse Yang,48.86699350685622,2.297449055237325,Chinese Restaurant
3472,75116000FP,48.86622670869565,2.297269113043478,Bazar de nuit,48.86677970666226,2.2980430857315817,Cocktail Bar
3473,75116000FP,48.86622670869565,2.297269113043478,Balilli,48.86586611642149,2.2978622339845547,Italian Restaurant
3474,75116000FP,48.86622670869565,2.297269113043478,Chai,48.86707841725739,2.297102932824253,Asian Restaurant
3475,75116000FQ,48.8639394,2.292758423809524,Shangri-La Hotel Paris,48.863762249254705,2.2931055812929593,Hotel
3476,75116000FQ,48.8639394,2.292758423809524,Bar du Shangri-La Hotel,48.86365254426873,2.2935354709625244,Hotel Bar
3477,75116000FQ,48.8639394,2.292758423809524,Shang Palace,48.86383111256797,2.293151757996688,Chinese Restaurant
3478,75116000FQ,48.8639394,2.292758423809524,L'Abeille,48.86345063364732,2.2934608513716634,French Restaurant
3479,75116000FQ,48.8639394,2.292758423809524,La Bauhinia,48.86345815239793,2.2936560056992565,French Restaurant
3480,75116000FR,48.86303341071427,2.289584148214285,Cité de l'Architecture et du Patrimoine,48.862703234437916,2.28865385055542,Museum
3481,75116000FR,48.86303341071427,2.289584148214285,Théâtre National de Chaillot,48.86265382748534,2.288546562194824,Theater
3482,75116000FS,48.86227090000001,2.2907563065217396,L'aQuarium,48.86224,2.2909439,Nightclub
3483,75116000FS,48.86227090000001,2.2907563065217396,Aquarium de Paris – CinéAqua,48.86221,2.291,Aquarium
3484,75116000FS,48.86227090000001,2.2907563065217396,Zen Café,48.86208917313495,2.2911643981933594,Japanese Restaurant
3485,75116000FT,48.8626106074074,2.295289418518519,The Mona Bismarck American Center for Art & Culture,48.862989667610705,2.2947325054627385,Art Museum
3486,75116000FU,48.86373872058823,2.2990657411764714,Musée d'Art Moderne de Paris (MAM),48.86412189898248,2.2981810569763184,Art Museum
3487,75116000FU,48.86373872058823,2.2990657411764714,6 New York,48.86403753670909,2.2995766773715296,French Restaurant
3488,75116000FU,48.86373872058823,2.2990657411764714,Antoine,48.86395694000604,2.298673719607276,French Restaurant
3489,75116000FU,48.86373872058823,2.2990657411764714,Al Mankal,48.863931,2.299508,Falafel Restaurant
3490,75117000BE,48.88579244468086,2.2985767212765955,Villa Pereire,48.88543699700009,2.297806317339691,French Restaurant
3491,75117000BE,48.88579244468086,2.2985767212765955,Les Hortensias,48.885163195160224,2.297845266259233,Café
3492,75117000BE,48.88579244468086,2.2985767212765955,RER Pereire–Levallois [C],48.88537868343667,2.297818571597462,Train Station
3493,75117000BF,48.88494128315787,2.2970929494736847,Petrus,48.885101595434286,2.2964397801024248,French Restaurant
3494,75117000BF,48.88494128315787,2.2970929494736847,Phébé,48.88560867072629,2.2965316201537775,French Restaurant
3495,75117000BF,48.88494128315787,2.2970929494736847,Dessirier,48.884687399537206,2.296746490860786,Seafood Restaurant
3496,75117000BF,48.88494128315787,2.2970929494736847,Le Comptoir d'Alphonse,48.885478420805235,2.296810861280355,Italian Restaurant
3497,75117000BF,48.88494128315787,2.2970929494736847,John Weng,48.884260633504496,2.2968198359012604,Asian Restaurant
3498,75117000BF,48.88494128315787,2.2970929494736847,Villa Pereire,48.88543699700009,2.297806317339691,French Restaurant
3499,75117000BF,48.88494128315787,2.2970929494736847,Place Perreire,48.88456470366615,2.2976472047032463,Plaza
3500,75117000BF,48.88494128315787,2.2970929494736847,Chez Ly,48.884049204085024,2.296990065103393,Asian Restaurant
3501,75117000BF,48.88494128315787,2.2970929494736847,Place du Maréchal Juin,48.884956,2.297285,Plaza
3502,75117000BF,48.88494128315787,2.2970929494736847,La Place,48.88463064348475,2.2975730786141577,Cocktail Bar
3503,75117000BF,48.88494128315787,2.2970929494736847,Hôtel Courcelles Étoile,48.88443403413488,2.2980093955993652,Hotel
3504,75117000BF,48.88494128315787,2.2970929494736847,Les Hortensias,48.885163195160224,2.297845266259233,Café
3505,75117000BF,48.88494128315787,2.2970929494736847,RER Pereire–Levallois [C],48.88537868343667,2.297818571597462,Train Station
3506,75117000BF,48.88494128315787,2.2970929494736847,Bar Le Village,48.88435073854916,2.2978979124137138,Bistro
3507,75117000BG,48.88445219305554,2.297497954166667,Dessirier,48.884687399537206,2.296746490860786,Seafood Restaurant
